"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201123.068","Viruses","2020-09-16","2020-11-23","PE477",1,1,"VP",0,1,263027.027027027,98047.659489434,164979.367537593,611648.648648649,468567.837520247,106835.725855115,36245.0852732874,2.32542129058775,0.594302554027505
"vi201124.010","Viruses","2020-09-16","2020-11-24","PE477",1,1,"VPC",0,1,314975.609756098,85326.2100732462,229649.399682851,633048.780487805,485678.761417244,138341.86490013,9028.15417043059,2.00983428836921,0.371549893842887
"vi201123.069","Viruses","2020-09-16","2020-11-23","PE477",1,1,"VP",0,2,244108.108108108,85834.8713838866,158273.236724221,513486.486486487,383614.780555957,98954.7140723612,30916.9918581683,2.10352081488043,0.542320819112628
"vi201124.011","Viruses","2020-09-16","2020-11-24","PE477",1,1,"VPC",0,2,309170.731707317,84545.3475446283,224625.384162689,590121.951219512,441050.733331611,139067.637058995,10003.5808289065,1.90872514988955,0.376383763837638
"vi201123.070","Viruses","2020-09-16","2020-11-23","PE477",1,1,"VP",0,3,248324.324324324,90643.5101623268,157680.814161998,469162.162162162,340266.457123215,94914.569775639,33981.1352633081,1.88931214627775,0.574854402192532
"vi201124.012","Viruses","2020-09-16","2020-11-24","PE477",1,1,"VPC",0,3,314878.048780488,87861.6048161101,227016.443964378,716073.170731707,562667.776343502,143930.888647327,9474.50574087914,2.27412858249419,0.387027491408935
"vi201123.071","Viruses","2020-09-16","2020-11-23","PE477",1,1,"VP",3,1,251513.513513514,92967.0869322931,158546.42658122,663540.540540541,532059.111387292,102618.394921253,28863.0342319949,2.63819041478616,0.586371379897785
"vi201124.013","Viruses","2020-09-16","2020-11-24","PE477",1,1,"VPC",3,1,318097.56097561,91518.8721568393,226578.68881877,628463.414634146,483243.475609756,136197,9022.93902439024,1.97569391197669,0.403916505272219
"vi201123.072","Viruses","2020-09-16","2020-11-23","PE477",1,1,"VP",3,2,249837.837837838,92048.3623082542,157789.475529584,626189.189189189,491576.246031799,103105.599073587,31507.3440838031,2.50638251839031,0.583361862375899
"vi201124.014","Viruses","2020-09-16","2020-11-24","PE477",1,1,"VPC",3,2,306926.829268293,77670.2841976791,229256.545070614,606560.975609756,482840.620168433,117319.483216971,6400.87222435209,1.97623966942149,0.338792003402807
"vi201123.073","Viruses","2020-09-16","2020-11-23","PE477",1,1,"VP",3,3,250054.054054054,93993.0987371039,156060.95531695,589918.918918919,454225.269049452,103768.746595797,31924.9032736698,2.35916558581928,0.602284527518172
"vi201124.015","Viruses","2020-09-16","2020-11-24","PE477",1,1,"VPC",3,3,309268.292682927,85325.4788262844,223942.813856642,691243.902439024,545597.496358296,137190.684895663,8455.72118506558,2.23509463722398,0.381014587415632
