VP_Lytic	VP_Lysogenic	abs_VP_Lytic	abs_VP_Lysogenic	Total_Bacteria	HNA	LNA	Total_Viruses	V1	V2	V3	VBR	TON	Nitrite	Phosphate	Silicate	Nitrate	Temperature	Salinity	LM_Lytic	LM_Lysogenic	Station	Cruise	Depth	Latitude	Longitude
3.86E+05	0.00E+00	1.16E+06	0.00E+00	9.27E+05	4.82E+05	4.44E+05	4.20E+07	3.13E+07	1.01E+07	5.63E+05	45.34	-0.08	-0.02	0.11	-1.50	-0.06	6.00	34.10	1.56E+05	-3.24E+04	PE486_3_7	PE486	7	54.992528	1.959
0.00E+00	1.42E+05	0.00E+00	4.26E+05	1.25E+06	6.76E+05	5.77E+05	3.97E+07	2.85E+07	1.04E+07	8.18E+05	31.70	0.01	-0.02	0.12	-1.45	0.02	6.00	34.20	2.90E+04	8.32E+03	PE486_6_7	PE486	7	54.974778	1.514028
1.64E+05	1.16E+05	4.92E+05	9.41E+05	1.15E+06	6.08E+05	5.46E+05	3.86E+07	2.86E+07	9.32E+06	7.01E+05	33.47	-0.09	-0.02	0.10	-1.44	-0.08	7.00	34.30	2.72E+04	4.93E+02	PE486_7_7	PE486	7	54.970917	1.493556
6.61E+04	0.00E+00	5.95E+05	0.00E+00	7.95E+05	4.36E+05	3.59E+05	1.36E+07	9.46E+06	3.81E+06	3.80E+05	17.16	3.67	0.09	0.30	-1.12	3.58	7.10	34.20	5.70E+04	1.61E+04	PE486_4_7	PE486	7	55.273417	0.762167
0.00E+00	4.07E+05	0.00E+00	1.22E+06	7.60E+05	3.80E+05	3.80E+05	1.84E+07	1.28E+07	5.10E+06	5.55E+05	24.26	2.10	0.08	0.30	-1.01	2.02	7.00	34.20	2.67E+04	-6.77E+02	PE486_5_7	PE486	7	54.019417	2.08925
3.06E+05	3.55E+05	3.22E+06	1.07E+06	1.13E+06	6.40E+05	4.88E+05	2.24E+07	1.68E+07	4.96E+06	6.75E+05	19.88	1.25	0.06	0.08	-0.11	1.19	6.50	34.20	8.71E+04	4.22E+04	PE486_2_7	PE486	7	54.469083	4.222222
3.07E+04	1.93E+05	3.68E+05	5.78E+05	8.65E+05	4.60E+05	4.05E+05	3.61E+07	2.48E+07	9.53E+06	1.71E+06	41.70	0.79	0.00	0.12	0.00	0.79	16.30	34.80	2.42E+04	2.75E+04	PE477_6_7	PE477	7	55.549833	1.346333
6.22E+04	9.53E+04	5.58E+05	2.86E+05	1.05E+06	6.02E+05	4.51E+05	3.36E+07	2.40E+07	8.28E+06	1.31E+06	31.86	0.26	0.00	0.15	0.00	0.26	17.20	34.30	3.10E+04	-5.97E+03	PE477_1_7	PE477	7	53.356861	3.418833
1.38E+05	0.00E+00	8.25E+05	0.00E+00	1.31E+06	9.10E+05	4.04E+05	2.09E+07	1.58E+07	4.69E+06	3.47E+05	15.88	0.10	0.00	0.17	0.00	0.11	15.80	34.50	2.24E+04	2.62E+04	PE477_2_7	PE477	7	53.827278	2.285889
8.53E+04	0.00E+00	9.85E+05	0.00E+00	1.56E+06	9.14E+05	6.49E+05	5.42E+07	3.94E+07	1.25E+07	2.26E+06	34.66	0.14	0.03	0.18	0.00	0.11	14.20	34.30	4.87E+04	7.55E+03	PE477_5_7	PE477	7	55.045472	1.233139
0.00E+00	3.28E+05	0.00E+00	9.85E+05	7.22E+05	4.29E+05	2.93E+05	3.71E+07	2.65E+07	9.23E+06	1.30E+06	51.28	0.50	0.06	0.19	0.00	0.44	NA	NA	2.49E+04	4.79E+03	PE477_3_7	PE477	7	54.464889	0.884639
1.90E+05	3.67E+05	5.69E+05	1.10E+06	8.67E+05	5.84E+05	2.83E+05	3.98E+07	2.99E+07	8.61E+06	1.24E+06	45.88	0.75	0.10	0.19	0.15	0.65	13.20	34.20	-4.01E+04	1.30E+05	PE477_4_7	PE477	7	54.414083	0.084694
0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.11E+05	5.08E+05	4.04E+05	2.04E+07	1.54E+07	4.46E+06	5.28E+05	22.36	6.03	0.11	0.34	0.42	5.92	6.10	34.10	3.08E+04	2.19E+04	PE486_1_7	PE486	7	53.677278	4.131944
