VP_Lytic	VP_Lysogenic	abs_VP_Lytic	abs_VP_Lysogenic	Total_Bacteria	HNA	LNA	Total_Viruses	V1	V2	V3	VBR	TON	Nitrite	Phosphate	Silicate	Nitrate	Temperature	Salinity	LM_Lytic	LM_Lysogenic	Station	Cruise	Depth	Latitude	Longitude
62201.2012	95333.62631	558234.2342	286000.8789	1053212.521	601835.7261	451376.7945	33559719.93	23971546.85	8282416.771	1305756.316	31.86414829	0.26	0	0.15	0	0.26	17.2	34.3	31032.28228	0	PE477_1_7	PE477	7	53.356861	3.418833
137535.9477	0	825215.6863	0	1314415.157	910036.5904	404378.5661	20867792.42	15834291.66	4686580.283	346920.4785	15.87610453	0.1	0	0.17	0	0.11	15.8	34.5	22356.20915	26177.74147	PE477_2_7	PE477	7	53.827278	2.285889
0	328366.0131	0	985098.0392	722446.458	429122.3322	293324.1258	37050247.12	26515367.97	9230582.528	1304296.616	51.28441936	0.5	0.06	0.19	0	0.44	NA	NA	24869.28105	4790.849673	PE477_3_7	PE477	7	54.464889	0.884639
189687.9339	366720.5227	569063.8018	1100161.568	867009.8847	583768.5467	283241.338	39775947.28	29932416.37	8608210.261	1235320.651	45.87715548	0.75	0.1	0.19	0.15	0.65	13.2	34.2	0	130418.8571	PE477_4_7	PE477	7	54.414083	0.084694
85289.3751	0	985380.9272	0	1562891.269	913724.4827	649166.7858	54172981.88	39436826.24	12473195.1	2262960.537	34.66202862	0.14	0.03	0.18	0	0.11	14.2	34.3	48711.15874	7554.06548	PE477_5_7	PE477	7	55.045472	1.233139
30683.76068	192735.0427	368205.1282	578205.1282	865156.5074	460347.1858	404809.3216	36079077.43	24830681.41	9534764.345	1713631.674	41.70237075	0.79	0	0.12	0	0.79	16.3	34.8	24191.1967	27506.93735	PE477_6_7	PE477	7	55.549833	1.346333
0	0	0	0	911243.8221	507618.8816	403624.9404	20372940.69	15389386.06	4455441.334	528113.2943	22.35728814	6.03	0.11	0.34	0.42	5.92	6.1	34.1	30813.77958	21918.61478	PE486_1_7	PE486	7	53.677278	4.131944
306319.7705	355305.1643	3219624.413	1065915.493	1128088.962	639699.1936	488389.7686	22428953.87	16790112.85	4964259.372	674581.6519	19.8822563	1.245	0.06	0.08	0	1.19	6.5	34.2	87144.75743	42219.8748	PE486_2_7	PE486	7	54.469083	4.222222
385555.5556	0	1156666.667	0	926688.6326	482426.4693	444262.1633	42011738.06	31329704.3	10118805.83	563227.9288	45.33533333	0	0	0.11	0	0	6	34.1	155962.7193	0	PE486_3_7	PE486	7	54.992528	1.959
66083.33333	0	594750	0	794913.5091	436294.7689	358618.7401	13643945.63	9457040.466	3806586.126	380319.0421	17.16406311	3.665	0.09	0.3	0	3.575	7.1	34.2	57008.33333	16097.22222	PE486_4_7	PE486	7	55.273417	0.762167
0	406527.7778	0	1219583.333	759699.341	379602.6941	380096.6469	18433072.49	12775866.5	5101783.842	555422.1465	24.26364154	2.095	0.08	0.3	0	2.015	7	34.2	26657.50286	0	PE486_5_7	PE486	7	54.019417	2.08925
0	142138.8889	0	426416.6667	1253191.928	676372.8558	576819.0717	39722199.34	28477558.65	10426478.38	818162.3085	31.69682031	0.005	0	0.12	0	0.015	6	34.2	29049.60317	8322.771255	PE486_6_7	PE486	7	54.974778	1.514028
164023.3941	115755.0889	492070.1824	941412.7389	1153356.672	607621.4491	545735.223	38603377.27	28580845.83	9321771.003	700760.4361	33.47045905	0	0	0.1	0	0	7	34.3	27193.9679	493.0316218	PE486_7_7	PE486	7	54.970917	1.493556
