"file_name","pop","count"
vi201123.001.1,root,975
vi201123.001.1,Bacteria,10
vi201123.001.1,HNA_Bacteria,1
vi201123.001.1,LNA_Bacteria,8
vi201123.001.1,Viruses,322
vi201123.001.1,V1,304
vi201123.001.1,V2,1
vi201123.001.1,V3,0
vi201123.002.1,root,915
vi201123.002.1,Bacteria,2
vi201123.002.1,HNA_Bacteria,0
vi201123.002.1,LNA_Bacteria,2
vi201123.002.1,Viruses,566
vi201123.002.1,V1,555
vi201123.002.1,V2,4
vi201123.002.1,V3,0
vi201123.003.1,root,1005
vi201123.003.1,Bacteria,6
vi201123.003.1,HNA_Bacteria,0
vi201123.003.1,LNA_Bacteria,6
vi201123.003.1,Viruses,625
vi201123.003.1,V1,611
vi201123.003.1,V2,0
vi201123.003.1,V3,0
vi201123.004.1,root,1080
vi201123.004.1,Bacteria,4
vi201123.004.1,HNA_Bacteria,1
vi201123.004.1,LNA_Bacteria,3
vi201123.004.1,Viruses,738
vi201123.004.1,V1,727
vi201123.004.1,V2,0
vi201123.004.1,V3,0
vi201123.012.1,root,25245
vi201123.012.1,Bacteria,34
vi201123.012.1,HNA_Bacteria,20
vi201123.012.1,LNA_Bacteria,13
vi201123.012.1,Viruses,24299
vi201123.012.1,V1,18086
vi201123.012.1,V2,5688
vi201123.012.1,V3,482
vi201123.013.1,root,26955
vi201123.013.1,Bacteria,40
vi201123.013.1,HNA_Bacteria,18
vi201123.013.1,LNA_Bacteria,20
vi201123.013.1,Viruses,26355
vi201123.013.1,V1,19543
vi201123.013.1,V2,6244
vi201123.013.1,V3,510
vi201123.014.1,root,25950
vi201123.014.1,Bacteria,43
vi201123.014.1,HNA_Bacteria,20
vi201123.014.1,LNA_Bacteria,23
vi201123.014.1,Viruses,25052
vi201123.014.1,V1,18627
vi201123.014.1,V2,5849
vi201123.014.1,V3,510
vi201123.015.1,root,21765
vi201123.015.1,Bacteria,48
vi201123.015.1,HNA_Bacteria,28
vi201123.015.1,LNA_Bacteria,20
vi201123.015.1,Viruses,21202
vi201123.015.1,V1,15688
vi201123.015.1,V2,5025
vi201123.015.1,V3,443
vi201123.016.1,root,20835
vi201123.016.1,Bacteria,56
vi201123.016.1,HNA_Bacteria,36
vi201123.016.1,LNA_Bacteria,20
vi201123.016.1,Viruses,20247
vi201123.016.1,V1,14708
vi201123.016.1,V2,5067
vi201123.016.1,V3,430
vi201123.017.1,root,20715
vi201123.017.1,Bacteria,44
vi201123.017.1,HNA_Bacteria,28
vi201123.017.1,LNA_Bacteria,15
vi201123.017.1,Viruses,20047
vi201123.017.1,V1,14556
vi201123.017.1,V2,4991
vi201123.017.1,V3,432
vi201123.018.1,root,1155
vi201123.018.1,Bacteria,5
vi201123.018.1,HNA_Bacteria,0
vi201123.018.1,LNA_Bacteria,5
vi201123.018.1,Viruses,919
vi201123.018.1,V1,895
vi201123.018.1,V2,18
vi201123.018.1,V3,3
vi201123.019.1,root,1215
vi201123.019.1,Bacteria,3
vi201123.019.1,HNA_Bacteria,0
vi201123.019.1,LNA_Bacteria,3
vi201123.019.1,Viruses,979
vi201123.019.1,V1,963
vi201123.019.1,V2,1
vi201123.019.1,V3,0
vi201123.020.1,root,1170
vi201123.020.1,Bacteria,6
vi201123.020.1,HNA_Bacteria,0
vi201123.020.1,LNA_Bacteria,6
vi201123.020.1,Viruses,911
vi201123.020.1,V1,905
vi201123.020.1,V2,0
vi201123.020.1,V3,0
vi201123.021.1,root,1305
vi201123.021.1,Bacteria,2
vi201123.021.1,HNA_Bacteria,0
vi201123.021.1,LNA_Bacteria,2
vi201123.021.1,Viruses,1048
vi201123.021.1,V1,1040
vi201123.021.1,V2,3
vi201123.021.1,V3,0
vi201123.022.1,root,1395
vi201123.022.1,Bacteria,7
vi201123.022.1,HNA_Bacteria,1
vi201123.022.1,LNA_Bacteria,6
vi201123.022.1,Viruses,955
vi201123.022.1,V1,946
vi201123.022.1,V2,1
vi201123.022.1,V3,0
vi201123.023.1,root,1275
vi201123.023.1,Bacteria,9
vi201123.023.1,HNA_Bacteria,1
vi201123.023.1,LNA_Bacteria,8
vi201123.023.1,Viruses,910
vi201123.023.1,V1,904
vi201123.023.1,V2,1
vi201123.023.1,V3,0
vi201123.024.1,root,1395
vi201123.024.1,Bacteria,5
vi201123.024.1,HNA_Bacteria,2
vi201123.024.1,LNA_Bacteria,3
vi201123.024.1,Viruses,1019
vi201123.024.1,V1,1005
vi201123.024.1,V2,1
vi201123.024.1,V3,1
vi201123.025.1,root,1905
vi201123.025.1,Bacteria,9
vi201123.025.1,HNA_Bacteria,3
vi201123.025.1,LNA_Bacteria,6
vi201123.025.1,Viruses,1209
vi201123.025.1,V1,1197
vi201123.025.1,V2,2
vi201123.025.1,V3,0
vi201123.026.1,root,1620
vi201123.026.1,Bacteria,5
vi201123.026.1,HNA_Bacteria,1
vi201123.026.1,LNA_Bacteria,4
vi201123.026.1,Viruses,909
vi201123.026.1,V1,900
vi201123.026.1,V2,2
vi201123.026.1,V3,0
vi201123.027.1,root,1200
vi201123.027.1,Bacteria,10
vi201123.027.1,HNA_Bacteria,0
vi201123.027.1,LNA_Bacteria,10
vi201123.027.1,Viruses,798
vi201123.027.1,V1,784
vi201123.027.1,V2,1
vi201123.027.1,V3,0
vi201123.028.1,root,1305
vi201123.028.1,Bacteria,7
vi201123.028.1,HNA_Bacteria,1
vi201123.028.1,LNA_Bacteria,6
vi201123.028.1,Viruses,893
vi201123.028.1,V1,883
vi201123.028.1,V2,0
vi201123.028.1,V3,0
vi201123.030.1,root,7080
vi201123.030.1,Bacteria,718
vi201123.030.1,HNA_Bacteria,403
vi201123.030.1,LNA_Bacteria,310
vi201123.030.1,Viruses,5143
vi201123.030.1,V1,4658
vi201123.030.1,V2,337
vi201123.030.1,V3,108
vi201123.031.1,root,7170
vi201123.031.1,Bacteria,691
vi201123.031.1,HNA_Bacteria,392
vi201123.031.1,LNA_Bacteria,299
vi201123.031.1,Viruses,4999
vi201123.031.1,V1,4563
vi201123.031.1,V2,292
vi201123.031.1,V3,105
vi201123.032.1,root,6240
vi201123.032.1,Bacteria,645
vi201123.032.1,HNA_Bacteria,390
vi201123.032.1,LNA_Bacteria,246
vi201123.032.1,Viruses,4222
vi201123.032.1,V1,3785
vi201123.032.1,V2,273
vi201123.032.1,V3,126
vi201123.033.1,root,8760
vi201123.033.1,Bacteria,734
vi201123.033.1,HNA_Bacteria,414
vi201123.033.1,LNA_Bacteria,313
vi201123.033.1,Viruses,6644
vi201123.033.1,V1,6174
vi201123.033.1,V2,324
vi201123.033.1,V3,107
vi201123.034.1,root,7155
vi201123.034.1,Bacteria,679
vi201123.034.1,HNA_Bacteria,398
vi201123.034.1,LNA_Bacteria,275
vi201123.034.1,Viruses,4986
vi201123.034.1,V1,4561
vi201123.034.1,V2,286
