"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"ba201123.005","Bacteria",2020-09-16,2020-11-23,"PE477",1,1,"0.22",0,1,53716.2162162162,8830.06293965198,44886.1532765642,NA,NA,NA,NA,NA,0.19672131147541
"ba201123.006","Bacteria",2020-09-16,2020-11-23,"PE477",1,1,"0.22",0,1,61216.2162162162,7704.23949347376,53511.9767227425,NA,NA,NA,NA,NA,0.143972246313964
"ba201123.007","Bacteria",2020-09-16,2020-11-23,"PE477",1,1,"VP",0,1,245743.243243243,106999.427107906,138743.816135337,NA,NA,NA,NA,NA,0.771201413427562
"ba201123.008","Bacteria",2020-09-16,2020-11-23,"PE477",1,1,"VP",0,1,247270.27027027,93070.4314900912,154199.838780179,NA,NA,NA,NA,NA,0.603570225665207
"ba201130.007","Bacteria",2020-09-17,2020-11-30,"PE477",2,1,"0.22",0,1,13014.7058823529,2113.49924585219,10901.2066365008,NA,NA,NA,NA,NA,0.193877551020408
"ba201130.008","Bacteria",2020-09-17,2020-11-30,"PE477",2,1,"0.22",0,1,14852.9411764706,2167.15511827507,12685.7860581955,NA,NA,NA,NA,NA,0.170833333333333
"ba201130.009","Bacteria",2020-09-17,2020-11-30,"PE477",2,1,"VP",0,1,283750,168974.719101124,114775.280898876,NA,NA,NA,NA,NA,1.47222222222222
"ba201130.010","Bacteria",2020-09-17,2020-11-30,"PE477",2,1,"VP",0,1,310205.882352941,153698.765171855,156507.117181086,NA,NA,NA,NA,NA,0.982056074766355
"BA210623.082","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"0.22",0,1,58602.9411764706,10970.0086931324,47632.9324833382,NA,NA,NA,NA,NA,0.23030303030303
"BA210623.103","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",0,1,268382.352941176,131404.693024751,136977.659916426,NA,NA,NA,NA,NA,0.9593147751606
"BA210623.151","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",0,1,245588.235294118,118479.136741057,127109.09855306,NA,NA,NA,NA,NA,0.93210586881473
"BA210623.083","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"0.22",0,2,67132.3529411765,5787.27180527383,61345.0811359026,NA,NA,NA,NA,NA,0.0943396226415095
"BA210623.104","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",0,2,273823.529411765,140651.721856391,133171.807555373,NA,NA,NA,NA,NA,1.05616740088106
"BA210623.152","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",0,2,264558.823529412,130377.163586674,134181.659942738,NA,NA,NA,NA,NA,0.97164667393675
"BA210623.084","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"0.22",0,3,86102.9411764706,7695.54111695268,78407.4000595179,NA,NA,NA,NA,NA,0.0981481481481481
"BA210623.105","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",0,3,293676.470588235,142437.488981607,151238.981606629,NA,NA,NA,NA,NA,0.94180407371484
"BA210623.153","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",0,3,245000,123743.28358209,121256.71641791,NA,NA,NA,NA,NA,1.0205066344994
"BA210623.106","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",3,1,275294.117647059,140067.065718136,135227.051928923,NA,NA,NA,NA,NA,1.03579175704989
"BA210623.154","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",3,1,258088.235294118,127288.415366146,130799.819927971,NA,NA,NA,NA,NA,0.973154362416107
"BA210623.107","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",3,2,280588.235294118,144474.339657452,136113.895636666,NA,NA,NA,NA,NA,1.0614224137931
"BA210623.155","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",3,2,251911.764705882,122298.62676778,129613.137938102,NA,NA,NA,NA,NA,0.943566591422122
"BA210623.108","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",3,3,285735.294117647,146828.043845875,138907.250271772,NA,NA,NA,NA,NA,1.05702217529039
"BA210623.156","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",3,3,229852.941176471,127208.688819039,102644.252357432,NA,NA,NA,NA,NA,1.23931623931624
"BA210623.109","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",6,1,284705.882352941,140372.761160105,144333.121192836,NA,NA,NA,NA,NA,0.972560975609756
"BA210623.157","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",6,1,252647.058823529,126396.675636091,126250.383187438,NA,NA,NA,NA,NA,1.00115874855156
"BA210623.110","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",6,2,317352.941176471,146572.162845721,170780.77833075,NA,NA,NA,NA,NA,0.858247422680412
"BA210623.158","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",6,2,234117.647058824,123127.457104016,110990.189954808,NA,NA,NA,NA,NA,1.10935441370224
"BA210623.111","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",6,3,273382.352941176,151357.611714214,122024.741226963,NA,NA,NA,NA,NA,1.24038461538462
"BA210623.159","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",6,3,221176.470588235,124548.812254578,96627.6583336573,NA,NA,NA,NA,NA,1.28895612708018
"BA210623.127","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",9,1,252205.882352941,133383.711452248,118822.170900693,NA,NA,NA,NA,NA,1.12254901960784
"BA210623.175","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",9,1,236691.176470588,133293.737088181,103397.439382407,NA,NA,NA,NA,NA,1.28913963328632
"BA210623.128","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",9,2,239852.941176471,128222.35508281,111630.586093661,NA,NA,NA,NA,NA,1.14863102998696
"BA210623.176","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",9,2,245955.882352941,129542.599958133,116413.282394808,NA,NA,NA,NA,NA,1.11278195488722
"BA210623.129","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",9,3,251911.764705882,129596.225773546,122315.538932336,NA,NA,NA,NA,NA,1.05952380952381
"BA210623.177","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",9,3,235808.823529412,121477.272727273,114331.550802139,NA,NA,NA,NA,NA,1.0625
"BA210623.130","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",12,1,248823.529411765,130599.59384573,118223.935566034,NA,NA,NA,NA,NA,1.10467980295566
"BA210623.178","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",12,1,239044.117647059,126012.274342318,113031.843304741,NA,NA,NA,NA,NA,1.11483870967742
"BA210623.131","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",12,2,261617.647058824,132702.49246692,128915.154591904,NA,NA,NA,NA,NA,1.02937853107345
"BA210623.179","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VPC",12,2,268897.058823529,124959.762406591,143937.296416938,NA,NA,NA,NA,NA,0.86815415821501
"BA210623.132","Bacteria",2020-09-18,2021-06-23,"PE477",3,1,"VP",12,3,252352.941176471,132219.544482536,120133.396693934,NA,NA,NA,NA,NA,1.10060606060606
