Cruise	Station	Expt_Date	Total_Bacteria	HNA	LNA	Total_Viruses	V1	V2	V3	VBR	Nitrite	Phosphate	Silicate	Nitrate	Temperature	Salinity	Net_Growth_Rate_c_Bacteria	Net_Growth_Rate_c_HNA	Net_Growth_Rate_c_LNA	decay_rate_c_V1	decay_rate_c_V2	decay_rate_c_V3	decay_rate_c_Viruses	percent_decay_day_c_V1	percent_decay_day_c_V2	percent_decay_day_c_V3	percent_decay_day_c_Viruses	Population	Lytic_VPCL_c_VP	Lytic_VPCL_Percent_Cells_BS_25	Lytic_VPCL_Bacteria_Loss_Rate_BS_25	Lytic_VPCL_Percent_Bacteria_Loss_BS_25	Lytic_VPCL_V_Turnover_Time	Lysogenic_VPCL_c_VP	Lysogenic_VPCL_Percent_Cells_BS_25	Lysogenic_VPCL_Bacteria_Loss_Rate_BS_25	Lysogenic_VPCL_Percent_Bacteria_Loss_BS_25	Location2	HNALNA	V1V2	V1V3	V2V3
PE477	1	2020-09-16	1053212.521	601835.7261	451376.7945	33559719.93	23971546.85	8282416.771	1305756.316	31.86414829	0	0.15	0	0.26	17.2	34.3	0.00105739120443069	0.00185524366645664	0.000585677101475563	211707.00384644	51040.9667758023	3749.77712550589	266497.747747747	21.1958290556229	14.790166161505	6.89214747877515	19.0584008426972	c_Viruses	186455.115469264	44.2231964545265	7458.20461877056	16.9953268957095	0.00555591989021894	0	0	0	0	PE477	1.33333333355488	2.89426957285388	18.3583617833329	6.34300341458199
PE477	2	2020-09-17	1314415.157	910036.5904	404378.5661	20867792.42	15834291.66	4686580.283	346920.4785	15.87610453	0	0.17	0	0.11	15.8	34.5	0.00156922279240974	0.00506136937557329	-0.00298251684666887	42971.3740539041	10333.8195233025	-1836.64782557277	51468.545751633	6.51316143114227	5.29195391059215	-12.705951520745	5.91938559277269	c_Viruses	606887.643676295	48.8966436516805	24275.5057470518	44.3248188996076	0.0290825033842413	0	0	0	0	PE477	2.25045703875154	3.37864513223789	45.6424242479534	13.5090909111611
PE477	3	2020-09-18	722446.458	429122.3322	293324.1258	37050247.12	26515367.97	9230582.528	1304296.616	51.28441936	0.06	0.19	0	0.44	15.34	34.42	-0.0023229328998683	-0.000831285180158673	-0.00403197554876832	83725.213152436	36165.5216805499	3728.5462127659	123619.281045754	7.57826600004927	9.40322582784232	6.86079439359533	8.0076732969928	c_Viruses	163967.215227024	7.57485832941606	6558.68860908098	21.7882619362144	0.00442553634516823	913271.939357611	42.1907851962151	36530.8775743044	121.357237214568	PE477	1.46296296300084	2.87255629745668	20.3292469249188	7.07705779097107
PE477	4	2020-09-19	867009.8847	583768.5467	283241.338	39775947.28	29932416.37	8608210.261	1235320.651	45.87715548	0.1	0.19	0.15	0.65	13.2	34.2	-0.000877519027926577	0.00490828119208599	-0.00691914422156614	5178.13552430097	5582.4879575257	215.58787533177	10976.2113571586	0.415186168223222	1.55641773281979	0.418847446917851	0.662282335395849	c_Viruses	0	0	0	0	0	789029.792714576	108.738842728633	31561.191708583	87.3656245877853	PE477	2.06102877080746	3.47719391864887	24.2304832723144	6.9684014867165
PE477	5	2020-09-20	1562891.269	913724.4827	649166.7858	54172981.88	39436826.24	12473195.1	2262960.537	34.66202862	0.03	0.18	0	0.11	14.2	34.3	0.000659375303288948	0.0021474673177782	-0.000856206521995282	235210.996677414	32099.3082138936	5374.88029387901	272685.185185185	14.3141942657958	6.17631161027416	5.70037015422759	12.0806428173757	c_Viruses	173054.524931076	25.0906241519227	6922.18099724303	10.6298081785389	0.00319448032811658	0	0	0	0	PE477	1.4075342464941	3.16172607931067	17.4270941075629	5.51189245064595
PE477	6	2020-09-21	865156.5074	460347.1858	404809.3216	36079077.43	24830681.41	9534764.345	1713631.674	41.70237075	0	0.12	0	0.79	16.3	34.8	0.000589978305372832	0.00140388609471482	-0.000367595116147441	31861.4010306475	-3418.09766723458	288.890368780861	28732.1937321933	3.07955151173413	-0.860370965084716	0.404600881037442	1.91128127073242	c_Viruses	117048.986937681	23.2495851816041	4681.95947750725	12.9880578252672	0.00324423447813425	613113.741102138	27.0525359053238	24524.5496440855	68.0326838466374	PE477	1.13719512184277	2.6042260208582	14.4900924666265	5.56406869087785
PE486	1	2021-04-14	911243.8221	507618.8816	403624.9404	20372940.69	15389386.06	4455441.334	528113.2943	22.35728814	0.11	0.34	0.42	5.92	6.1	34.1	-0.000504992439371749	0.000304527882290025	-0.0013774608732154	162879.310011165	26244.6401812135	3912.04354783976	193035.993740219	25.4012955749319	14.1371262043672	17.7782014127483	22.7402804546488	c_Viruses	157177.865091979	13.1779790703695	6287.11460367914	16.5587680079482	0.00771503080893613	0	0	0	0	PE486	1.25764993881929	3.45406546879246	29.1403117969189	8.43652561313679
PE486	2	2021-04-15	1128088.962	639699.1936	488389.7686	22428953.87	16790112.85	4964259.372	674581.6519	19.8822563	0.06	0.08	0	1.19	6.5	34.2	-0.000863014231669814	-5.86153174110407e-05	-0.00166125817269677	120563.937817768	25201.0004584369	2259.31837481221	148024.256651017	17.2335619985212	12.1835699080085	8.03811382102802	15.8392682075831	c_Viruses	838116.804348323	85.4635432378615	33524.6721739329	71.3234646625671	0.0373676279868475	0	0	0	0	PE486	1.3098128477051	3.38219895291966	24.8896672518584	7.35901926478116
PE486	3	2021-04-16	926688.6326	482426.4693	444262.1633	42011738.06	31329704.3	10118805.83	563227.9288	45.33533333	0	0.11	0	0	6	34.1	0.00153722175630283	0.00206854456946573	0.00120274277519297	235145.932851353	53436.5908700557	63.3096119255715	288645.833333333	18.0132641355076	12.6742048659445	0.269771900241343	16.4894391898434	c_Viruses	847579.204671214	24.1279836854117	33903.1681868486	87.8046851833548	0.0201748188437414	0	0	0	0	PE486	1.08590492090642	3.09618593600387	55.6252676722731	17.9657387579463
PE486	4	2021-04-18	794913.5091	436294.7689	358618.7401	13643945.63	9457040.466	3806586.126	380319.0421	17.16406311	0.09	0.3	0	3.575	7.1	34.2	0.000423913443272494	0.00117561372756461	-0.000202048700834828	52694.5967001126	19865.4109151639	1511.1729402791	74071.1805555556	13.372791682022	12.524867326854	9.53624366701105	13.0292833286036	c_Viruses	261806.153861851	28.1448944801095	10472.2461544741	31.6177678238149	0.0191884489253752	0	0	0	0	PE486	1.21659779625108	2.48438893879371	24.866071427245	10.0089285695011
PE486	5	2021-04-19	759699.341	379602.6941	380096.6469	18433072.49	12775866.5	5101783.842	555422.1465	24.26364154	0.08	0.3	0	2.015	7	34.2	-0.00186174741794362	-0.00304980005785361	-0.00117726972426893	134288.588329544	50188.3182677814	5627.26006934186	190104.166666667	25.2266734307929	23.6097740658992	24.3156025583875	24.7517064910105	c_Viruses	0	0	0	0	0	0	0	0	0	PE486	0.998700454729005	2.50419596275792	23.0020833351844	9.18541666757251
PE486	6	2021-04-20	1253191.928	676372.8558	576819.0717	39722199.34	28477558.65	10426478.38	818162.3085	31.69682031	0	0.12	0	0.015	6	34.2	4.90078460857638e-05	-0.000324537955330383	0.000345913799720384	207417.461709793	49523.2703163094	2538.43464056407	259479.166666667	17.4804980378296	11.3994240842748	7.44625250278658	15.6776314088151	c_Viruses	224208.216651181	7.61372083428137	8968.32866604724	17.1753330975121	0.00564440590844638	504074.448420077	17.1174909969322	20162.9779368031	38.6143143497229	PE486	1.17259100640795	2.73127297752091	34.8067349890636	12.7437774530529
PE486	7	2021-04-21	1153356.672	607621.4491	545735.223	38603377.27	28580845.83	9321771.003	700760.4361	33.47045905	0	0.1	0	0	7	34.3	0.000550599390066648	0.00079069022773112	0.000324828191569429	200441.709420758	38110.642733583	-998.736008753668	237553.616145588	16.8315558423702	9.81203491602218	-3.42052190381757	14.7688808355241	c_Viruses	812865.249181814	41.913018019496	32514.6099672726	67.6590909090906	0.0210568428636818	1011371.47563637	52.1484107303376	40454.8590254549	84.181818181819	PE486	1.11339972846136	3.06603174662861	40.7854729771323	13.3023648636319
