"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"PE477",1,7,"T0_T24","c_Viruses","VP",44166.6666666667,653351.351351353,12983.6605317169,NA,"VIPCAL_SE",249480.343980344,1053212.521,33559719.93,186455.115469264,2758204.5658464,54812.1492148301,110.557991136316,18645.5115469264,6.90574501738014,42.4883172392738,44.2231964545265,7458.20461877056,2.76229800695206,16.9953268957095,27.6394977840791,4661.3778867316,1.72643625434504,10.6220793098185,0.00555591989021894,6.18998476633175e-12,2.4424451546439e-12,8.86295027545681e-13,3.54264719391601e-10,3.60454704157933e-10,9.3227557734632e-11,9.56700028892759e-11,1.49164092375411e-11,1.58027042650868e-11,1.41705887756641e-10,1.47895872522972e-10,3.72910230938528e-11,3.97334682484967e-11,5.96656369501644e-12,6.85285872256213e-12,8.85661798479004e-11,9.47561646142321e-11,2.3306889433658e-11,2.57493345883019e-11,3.72910230938528e-12,4.61539733693096e-12
"PE477",2,7,"T0_T24","c_Viruses","VP",137535.947712419,825215.686274512,89203.7856245857,NA,"VIPCAL_SE",297879.411764706,1314415.157,20867792.42,606887.643676295,3641325.86205776,393618.367889588,122.241609129201,60688.7643676295,22.4773201361591,110.812047249019,48.8966436516805,24275.5057470518,8.99092805446362,44.3248188996076,30.5604022823003,15172.1910919074,5.61933003403976,27.7030118122548,0.0290825033842413,2.01476117175798e-11,7.94984777424767e-12,2.88477738739156e-12,1.15308652298496e-09,1.17323413470254e-09,3.03443821838147e-10,3.11393669612395e-10,4.85510114941036e-11,5.14357888814951e-11,4.61234609193984e-10,4.81382220911564e-10,1.21377528735259e-10,1.29327376509507e-10,1.94204045976414e-11,2.2305181985033e-11,2.8827163074624e-10,3.0841924246382e-10,7.58609554595368e-11,8.38108032337845e-11,1.21377528735259e-11,1.50225302609175e-11
"PE477",3,7,"T0_T24","c_Viruses","VP",58954.2483660132,176862.74509804,21896.3719184628,NA,"VIPCAL_SE",259754.901960784,722446.458,37050247.12,163967.215227024,491901.645681074,60899.5488290432,18.9371458235401,16396.7215227024,6.07285982322313,54.4706548405361,7.57485832941606,6558.68860908098,2.42914392928925,21.7882619362144,4.73428645588504,4099.18038067561,1.51821495580578,13.617663710134,0.00442553634516823,5.44342568386348e-12,2.14786775543156e-12,7.7940112916977e-13,3.11537708931346e-10,3.1698113461521e-10,8.19836076135122e-11,8.41314753689437e-11,1.3117377218162e-11,1.38967783473317e-11,1.24615083572539e-10,1.30058509256402e-10,3.27934430454049e-11,3.49413108008364e-11,5.24695088726478e-12,6.02635201643455e-12,7.78844272328366e-11,8.33278529167001e-11,2.0495901903378e-11,2.26437696588096e-11,3.27934430454049e-12,4.05874543371026e-12
"PE477",4,7,"T0_T24","c_Viruses","VP",0,0,0,NA,"VIPCAL_SE",221618.06621355,867009.8847,39775947.28,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PE477",5,7,"T0_T24","c_Viruses","VP",62681.2498616414,1286144.05637858,18930.6411722581,NA,"VIPCAL_SE",566087.354131791,1562891.269,54172981.88,173054.524931076,3550871.25991928,52264.9615624624,62.7265603798067,17305.4524931076,6.40942684929911,26.5745204463473,25.0906241519227,6922.18099724303,2.56377073971964,10.6298081785389,15.6816400949517,4326.3631232769,1.60235671232478,6.64363011158683,0.00319448032811658,5.74510852315404e-12,2.26690581721682e-12,8.22596712107778e-13,3.28803597369044e-10,3.34548705892198e-10,8.65272624655379e-11,8.87941682827547e-11,1.38443619944861e-11,1.46669587065938e-11,1.31521438947618e-10,1.37266547470772e-10,3.46109049862152e-11,3.6877810803432e-11,5.53774479779443e-12,6.36034150990221e-12,8.2200899342261e-11,8.79460078654151e-11,2.16318156163845e-11,2.38987214336013e-11,3.46109049862152e-12,4.2836872107293e-12
"PE477",6,7,"T0_T24","c_Viruses","VP",36794.871794872,496923.076923077,25838.9217342516,NA,"VIPCAL_SE",271965.811965812,865156.5074,36079077.43,117048.986937681,1580773.07794582,82196.7699579725,58.1239629540104,11704.8986937681,4.33514766435857,32.470144563168,23.2495851816041,4681.95947750725,1.73405906574343,12.9880578252672,14.5309907385026,2926.22467344203,1.08378691608964,8.117536140792,0.00324423447813425,3.88582230224865e-12,1.53326837015123e-12,5.5638020357359e-13,2.22393075181595e-10,2.26278897483843e-10,5.85244934688407e-11,6.00577618389919e-11,9.36391895501451e-12,9.9202991585881e-12,8.89572300726378e-11,9.28430523748865e-11,2.34097973875363e-11,2.49430657576875e-11,3.7455675820058e-12,4.30194778557939e-12,5.55982687953986e-11,5.94840910976473e-11,1.46311233672102e-11,1.61643917373614e-11,2.34097973875363e-12,2.89735994232722e-12
"PE486",1,7,"T0_T24","c_Viruses","VP",81506.2597809072,807276.995305163,40004.518758805,NA,"VIPCAL_SE",472535.211267606,911243.8221,20372940.69,157177.865091979,1556764.78102429,77145.2998756532,32.9449476759238,15717.7865091979,5.82140241081402,41.3969200198706,13.1779790703695,6287.11460367914,2.32856096432561,16.5587680079482,8.23623691898095,3929.44662729947,1.45535060270351,10.3492300049676,0.00771503080893613,5.21803109598394e-12,2.05893152378788e-12,7.47128658394091e-13,2.98637943674759e-10,3.03855974770743e-10,7.85889325459893e-11,8.06478640697772e-11,1.25742292073583e-11,1.33213578657524e-11,1.19455177469904e-10,1.24673208565888e-10,3.14355730183957e-11,3.34945045421836e-11,5.02969168294332e-12,5.77682034133741e-12,7.46594859186898e-11,7.98775170146738e-11,1.96472331364973e-11,2.17061646602852e-11,3.14355730183957e-12,3.89068596023366e-12
"PE486",2,7,"T0_T24","c_Viruses","VP",306319.770474699,3219624.41314553,157570.822584479,NA,"VIPCAL_SE",412300.469483568,1128088.962,22428953.87,838116.804348323,8809164.75017488,431127.099887756,213.658858094654,83811.6804348323,31.041363124012,178.308661656418,85.4635432378615,33524.6721739329,12.4165452496048,71.3234646625671,53.4147145236634,20952.9201087081,7.76034078100299,44.5771654141045,0.0373676279868475,2.78240167252369e-11,1.0978804859573e-11,3.98390118891023e-12,1.59242192826181e-09,1.62024594498705e-09,4.19058402174162e-10,4.30037207033735e-10,6.70493443478659e-11,7.10332455367761e-11,6.36968771304726e-10,6.64792788029963e-10,1.67623360869665e-10,1.78602165729238e-10,2.68197377391463e-11,3.08036389280566e-11,3.98105482065454e-10,4.25929498790691e-10,1.0476460054354e-10,1.15743405403113e-10,1.67623360869665e-11,2.07462372758767e-11
"PE486",3,7,"T0_T24","c_Viruses","VP",385555.555555556,1156666.66666667,234838.668059574,NA,"VIPCAL_SE",421541.666666667,926688.6326,42011738.06,847579.204671214,2542737.61401365,516253.413112342,60.3199592135293,84757.9204671214,31.3918223952302,219.511712958387,24.1279836854117,33903.1681868486,12.5567289580921,87.8046851833548,15.0799898033823,21189.4801167804,7.84795559880754,54.8779282395968,0.0201748188437414,2.81381519191371e-11,1.11027563733825e-11,4.02887972615078e-12,1.61040048887531e-09,1.63853864079444e-09,4.23789602335607e-10,4.3489235870899e-10,6.78063363736971e-11,7.18352160998479e-11,6.44160195550123e-10,6.7229834746926e-10,1.69515840934243e-10,1.80618597307625e-10,2.71225345494789e-11,3.11514142756296e-11,4.02600122218827e-10,4.30738274137964e-10,1.05947400583902e-10,1.17050156957284e-10,1.69515840934243e-11,2.09804638195751e-11
"PE486",4,7,"T0_T24","c_Viruses","VP",73527.7777777778,441166.666666667,31450.8538624729,NA,"VIPCAL_SE",223250,794913.5091,13643945.63,261806.153861851,1570836.92317111,111985.256922775,70.3622362002737,26180.6153861851,9.69652421710561,79.0444195595371,28.1448944801095,10472.2461544741,3.87860968684224,31.6177678238149,17.5905590500684,6545.15384654629,2.4241310542764,19.7611048898843,0.0191884489253752,8.69150787339976e-12,3.42949653243085e-12,1.24446836314807e-12,4.97431692337518e-10,5.06123200210918e-10,1.30903076930926e-10,1.34332573463357e-10,2.09444923089481e-11,2.21889606720962e-11,1.98972676935007e-10,2.07664184808407e-10,5.23612307723703e-11,5.57907273048012e-11,8.37779692357925e-12,9.62226528672731e-12,1.24357923084379e-10,1.33049430957779e-10,3.27257692327314e-11,3.61552657651623e-11,5.23612307723703e-12,6.4805914403851e-12
"PE486",5,7,"T0_T24","c_Viruses","VP",0,0,0,NA,"VIPCAL_SE",295000,759699.341,18433072.49,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
