"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method"
"PE477",1,1,"T0_T24","c_Viruses","VP",31032.2822822823,744774.774774775,2291.62197657823,0.688503344596631,"LM_SR_AVG"
"PE477",2,1,"T0_T24","c_Viruses","VP",22356.2091503268,536549.019607844,3458.33816619469,0.485123922263404,"LM_SR_AVG"
"PE477",3,1,"T0_T24","c_Viruses","VP",-2697.71241830061,-64745.0980392147,768.178511877031,0.0138659282460496,"LM_SR_AVG"
"PE477",4,1,"T0_T24","c_Viruses","VP",-39021.5995445901,-936518.389070164,11429.6832125458,0.594440235709627,"LM_SR_AVG"
"PE477",5,1,"T0_T24","c_Viruses","VP",48711.1587446625,1169067.8098719,3227.37764710792,0.817416943459229,"LM_SR_AVG"
"PE477",6,1,"T0_T24","c_Viruses","VP",24284.1880341878,582820.512820508,7995.18924420955,0.702881829380881,"LM_SR_AVG"
"PE486",1,1,"T0_T24","c_Viruses","VP",18888.8888888888,453333.333333333,17486.5389878975,0.580386353282844,"LM_SR_AVG"
"PE486",2,1,"T0_T24","c_Viruses","VP",80962.441314554,1943098.5915493,7148.48680902048,0.538709947704877,"LM_SR_AVG"
"PE486",3,1,"T0_T24","c_Viruses","VP",67269.4444444444,1614466.66666667,14299.1229301037,0.506938710410009,"LM_SR_AVG"
"PE486",4,1,"T0_T24","c_Viruses","VP",28565.9722222222,685583.333333333,2877.25513741334,0.659012852315144,"LM_SR_AVG"
"PE486",5,1,"T0_T24","c_Viruses","VP",10438.8888888889,250533.333333333,6187.69106669708,0.298820353301535,"LM_SR_AVG"
"PE486",6,1,"T0_T24","c_Viruses","VP",-1077.08333333336,-25850.0000000007,13485.7548192151,0.343071935000719,"LM_SR_AVG"
"PE486",7,1,"T0_T24","c_Viruses","VP",10922.2665752059,262134.397804942,3327.37503470781,0.24377658615708,"LM_SR_AVG"
"PE477",1,1,"T0_T24","c_Viruses","VP",44166.6666666667,653351.351351353,12983.6605317169,NA,"VPCL_AR_DIFF_SE"
"PE477",2,1,"T0_T24","c_Viruses","VP",137535.947712419,825215.686274512,89203.7856245857,NA,"VPCL_AR_DIFF_SE"
"PE477",3,1,"T0_T24","c_Viruses","VP",58954.2483660132,176862.74509804,21896.3719184628,NA,"VPCL_AR_DIFF_SE"
"PE477",4,1,"T0_T24","c_Viruses","VP",0,0,0,NA,"VPCL_AR_DIFF_SE"
"PE477",5,1,"T0_T24","c_Viruses","VP",62681.2498616414,1286144.05637858,18930.6411722581,NA,"VPCL_AR_DIFF_SE"
"PE477",6,1,"T0_T24","c_Viruses","VP",36794.871794872,496923.076923077,25838.9217342516,NA,"VPCL_AR_DIFF_SE"
"PE486",1,1,"T0_T24","c_Viruses","VP",81506.2597809072,807276.995305163,40004.518758805,NA,"VPCL_AR_DIFF_SE"
"PE486",2,1,"T0_T24","c_Viruses","VP",306319.770474699,3219624.41314553,157570.822584479,NA,"VPCL_AR_DIFF_SE"
"PE486",3,1,"T0_T24","c_Viruses","VP",385555.555555556,1156666.66666667,234838.668059574,NA,"VPCL_AR_DIFF_SE"
"PE486",4,1,"T0_T24","c_Viruses","VP",73527.7777777778,441166.666666667,31450.8538624729,NA,"VPCL_AR_DIFF_SE"
"PE486",5,1,"T0_T24","c_Viruses","VP",0,0,0,NA,"VPCL_AR_DIFF_SE"
"PE486",6,1,"T0_T24","c_Viruses","VP",63222.2222222222,189666.666666667,59262.057564823,NA,"VPCL_AR_DIFF_SE"
"PE486",7,1,"T0_T24","c_Viruses","VP",164023.394132733,492070.1823982,49689.73751813,NA,"VPCL_AR_DIFF_SE"
"PE477",1,1,"T0_T24","c_V1","VP",27374.7280930292,656993.474232701,1785.58836014456,0.676879595274729,"LM_SR_AVG"
"PE477",2,1,"T0_T24","c_V1","VP",22238.3308792119,533719.941101086,2931.16741307028,0.534449464940081,"LM_SR_AVG"
"PE477",3,1,"T0_T24","c_V1","VP",5519.81096976505,132475.463274361,1196.3702926477,0.0761410223619101,"LM_SR_AVG"
"PE477",4,1,"T0_T24","c_V1","VP",-40304.487539005,-967307.70093612,9016.42218157443,0.687493182118878,"LM_SR_AVG"
"PE477",5,1,"T0_T24","c_V1","VP",41008.6946524146,984208.671657952,2169.72793841166,0.804783345108814,"LM_SR_AVG"
"PE477",6,1,"T0_T24","c_V1","VP",23304.500707406,559308.016977744,6422.31459711351,0.815580802073631,"LM_SR_AVG"
"PE486",1,1,"T0_T24","c_V1","VP",21589.2360568913,518141.665365393,16113.3517464092,0.591025186289845,"LM_SR_AVG"
"PE486",2,1,"T0_T24","c_V1","VP",88800.5661931862,2131213.58863647,6943.22686153476,0.566510587671627,"LM_SR_AVG"
"PE486",3,1,"T0_T24","c_V1","VP",65971.4645917735,1583315.15020256,13647.1453678508,0.53626610425104,"LM_SR_AVG"
"PE486",4,1,"T0_T24","c_V1","VP",25631.4475080347,615154.740192833,2614.22925786026,0.635585129818659,"LM_SR_AVG"
"PE486",5,1,"T0_T24","c_V1","VP",10855.4401580177,260530.563792424,5635.22949911236,0.320175216678613,"LM_SR_AVG"
"PE486",6,1,"T0_T24","c_V1","VP",1192.545550358,28621.0932085917,13434.0931941918,0.373992571166691,"LM_SR_AVG"
"PE486",7,1,"T0_T24","c_V1","VP",10248.4753215926,245963.407718223,3170.99908573277,0.224483345598554,"LM_SR_AVG"
"PE477",1,1,"T0_T24","c_V1","VP",40025.8362047518,587076.633690906,12064.8332884046,NA,"VPCL_AR_DIFF_SE"
"PE477",2,1,"T0_T24","c_V1","VP",128531.807486172,771190.844917029,74843.9041089553,NA,"VPCL_AR_DIFF_SE"
"PE477",3,1,"T0_T24","c_V1","VP",39760.6964967858,415986.58477134,19249.939335755,NA,"VPCL_AR_DIFF_SE"
"PE477",4,1,"T0_T24","c_V1","VP",0,0,0,NA,"VPCL_AR_DIFF_SE"
"PE477",5,1,"T0_T24","c_V1","VP",54582.5598683216,1110704.26118565,16845.5807862621,NA,"VPCL_AR_DIFF_SE"
"PE477",6,1,"T0_T24","c_V1","VP",33979.6021718702,448818.23113213,18250.9746693085,NA,"VPCL_AR_DIFF_SE"
"PE486",1,1,"T0_T24","c_V1","VP",65057.4830114482,746037.657913569,40887.4829849001,NA,"VPCL_AR_DIFF_SE"
"PE486",2,1,"T0_T24","c_V1","VP",324707.02584582,3445586.35557366,153256.152367684,NA,"VPCL_AR_DIFF_SE"
"PE486",3,1,"T0_T24","c_V1","VP",381305.087313532,1143915.2619406,232645.046415311,NA,"VPCL_AR_DIFF_SE"
"PE486",4,1,"T0_T24","c_V1","VP",34971.993660134,661371.215437622,14856.2607203421,NA,"VPCL_AR_DIFF_SE"
"PE486",5,1,"T0_T24","c_V1","VP",10005.4002001806,120064.802402167,9053.62681111055,NA,"VPCL_AR_DIFF_SE"
"PE486",6,1,"T0_T24","c_V1","VP",0,0,0,NA,"VPCL_AR_DIFF_SE"
"PE486",7,1,"T0_T24","c_V1","VP",162061.081901352,486183.245704056,44968.381498712,NA,"VPCL_AR_DIFF_SE"
"PE477",1,1,"T0_T24","c_V2","VP",3639.73559181476,87353.6542035544,425.057031711879,0.764379532455498,"LM_SR_AVG"
"PE477",2,1,"T0_T24","c_V2","VP",155.307881858843,3727.38916461223,519.068141952078,0.0397098129164752,"LM_SR_AVG"
