"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","Replicate"
"PE477",1,1,"T0_T3","c_Viruses","VP",17297.2972972974,51891.8918918923,NA,1,"LM_SR","1"
"PE477",1,1,"T0_T6","c_Viruses","VP",59117.117117117,354702.702702702,24144.6842304346,0.857039120401602,"LM_SR","1"
"PE477",1,1,"T0_T9","c_Viruses","VP",112904.504504505,1016140.54054054,32877.8674689289,0.85499633152084,"LM_SR","1"
"PE477",1,1,"T0_T12","c_Viruses","VP",79113.5135135134,949362.162162161,27220.0002538435,0.737932663900231,"LM_SR","1"
"PE477",1,1,"T0_T24","c_Viruses","VP",30861.2612612613,740670.270270272,18246.8462537782,0.416957583169002,"LM_SR","1"
"PE477",1,1,"T0_T3","c_Viruses","VP",37567.5675675673,112702.702702702,NA,1,"LM_SR","2"
"PE477",1,1,"T0_T6","c_Viruses","VP",65729.7297297297,394378.378378378,16259.4319052863,0.942337493937747,"LM_SR","2"
"PE477",1,1,"T0_T9","c_Viruses","VP",62372.9729729725,561356.756756752,7525.27499948496,0.971710912682891,"LM_SR","2"
"PE477",1,1,"T0_T12","c_Viruses","VP",45731.5315315314,548778.378378377,10544.6248086689,0.862443073242185,"LM_SR","2"
"PE477",1,1,"T0_T24","c_Viruses","VP",27151.3513513511,651632.432432427,7043.90160782155,0.787886883780182,"LM_SR","2"
"PE477",1,1,"T0_T3","c_Viruses","VP",40252.2522522523,120756.756756757,NA,1,"LM_SR","3"
"PE477",1,1,"T0_T6","c_Viruses","VP",78477.4774774775,470864.864864865,22069.3440736178,0.926711890852821,"LM_SR","3"
"PE477",1,1,"T0_T9","c_Viruses","VP",36540.5405405405,328864.864864865,26146.6393529294,0.494064321687579,"LM_SR","3"
"PE477",1,1,"T0_T12","c_Viruses","VP",28772.972972973,345275.675675676,15747.8237159814,0.52668870229976,"LM_SR","3"
"PE477",1,1,"T0_T24","c_Viruses","VP",35084.2342342344,842021.621621627,7058.20096433079,0.860665566840708,"LM_SR","3"
"PE477",2,1,"T0_T3","c_Viruses","VP",40294.11764706,120882.35294118,NA,1,"LM_SR","1"
"PE477",2,1,"T0_T6","c_Viruses","VP",66931.37254902,401588.23529412,15379.0262881193,0.949851940692914,"LM_SR","1"
"PE477",2,1,"T0_T9","c_Viruses","VP",-54766.6666666667,-492900,70598.2091809823,0.23129856735398,"LM_SR","1"
"PE477",2,1,"T0_T12","c_Viruses","VP",5631.37254901978,67576.4705882373,53640.8745909974,0.00366035304982207,"LM_SR","1"
"PE477",2,1,"T0_T24","c_Viruses","VP",15836.7647058823,380082.352941176,23413.2667868229,0.102639782209997,"LM_SR","1"
"PE477",2,1,"T0_T3","c_Viruses","VP",7588.2352941167,22764.7058823501,NA,1,"LM_SR","2"
"PE477",2,1,"T0_T6","c_Viruses","VP",65225.4901960782,391352.941176469,33276.8846329987,0.793470760311559,"LM_SR","2"
"PE477",2,1,"T0_T9","c_Viruses","VP",45033.3333333329,405299.999999997,18904.4424170304,0.739402401707851,"LM_SR","2"
"PE477",2,1,"T0_T12","c_Viruses","VP",45694.1176470587,548329.411764704,10921.1504126639,0.853700461286128,"LM_SR","2"
"PE477",2,1,"T0_T24","c_Viruses","VP",23615.1960784316,566764.705882358,7936.41245510028,0.688810419327483,"LM_SR","2"
"PE477",2,1,"T0_T3","c_Viruses","VP",105372.549019606,316117.647058819,NA,1,"LM_SR","3"
"PE477",2,1,"T0_T6","c_Viruses","VP",93284.3137254898,559705.882352939,6979.14590108564,0.994433744131335,"LM_SR","3"
"PE477",2,1,"T0_T9","c_Viruses","VP",25643.1372549023,230788.23529412,39177.1780540251,0.176421335292471,"LM_SR","3"
"PE477",2,1,"T0_T12","c_Viruses","VP",25013.7254901963,300164.705882355,22621.8731868542,0.289544470666061,"LM_SR","3"
"PE477",2,1,"T0_T24","c_Viruses","VP",27616.6666666666,662799.999999999,9824.33578057111,0.663921565252733,"LM_SR","3"
"PE477",3,1,"T0_T3","c_Viruses","VP",55000.0000000002,165000.000000001,NA,1,"LM_SR","1"
"PE477",3,1,"T0_T6","c_Viruses","VP",-31617.6470588235,-189705.882352941,50008.7218459835,0.285576899315479,"LM_SR","1"
"PE477",3,1,"T0_T9","c_Viruses","VP",14764.7058823533,132882.35294118,34889.5687408202,0.0821834357348818,"LM_SR","1"
"PE477",3,1,"T0_T12","c_Viruses","VP",8656.8627450987,103882.352941184,20449.8390760557,0.0563667818068066,"LM_SR","1"
"PE477",3,1,"T0_T24","c_Viruses","VP",-3595.58823529398,-86294.1176470555,9535.30007856428,0.0343274136235449,"LM_SR","1"
