"Timepoint","Population","Generation_Time","Net_Growth_Rate","combi_tag","Location","Station_Number","Depth"
"3","c_Bacteria","-386.456346629707","-0.00077894954576203","PE477_1_1","PE477",1,1
"6","c_Bacteria","-237.110158532621","-0.00126957865292203","PE477_1_1","PE477",1,1
"9","c_Bacteria","-139.552894079231","-0.00215710320914643","PE477_1_1","PE477",1,1
"12","c_Bacteria","-552.046462420172","-0.000545298296712714","PE477_1_1","PE477",1,1
"24","c_Bacteria","284.691223458826","0.00105739120443069","PE477_1_1","PE477",1,1
"3","c_HNA","128.389947066217","0.00234465394326187","PE477_1_1","PE477",1,1
"6","c_HNA","115.128144760231","0.00261473852715091","PE477_1_1","PE477",1,1
"9","c_HNA","-67.5115501716754","-0.00445894065383609","PE477_1_1","PE477",1,1
"12","c_HNA","-241.850368437028","-0.0012446952122066","PE477_1_1","PE477",1,1
"24","c_HNA","162.259007324319","0.00185524366645664","PE477_1_1","PE477",1,1
"3","c_LNA","-116.108910481366","-0.00259265197146351","PE477_1_1","PE477",1,1
"6","c_LNA","-83.9926585192152","-0.00358400366140461","PE477_1_1","PE477",1,1
"9","c_LNA","-337.940504673693","-0.000890778085197708","PE477_1_1","PE477",1,1
"12","c_LNA","-1979.85854274945","-0.000152046213991563","PE477_1_1","PE477",1,1
"24","c_LNA","513.986281699549","0.000585677101475563","PE477_1_1","PE477",1,1
"3","c_Bacteria","-190.802626250712","-0.00157770362798068","PE477_2_1","PE477",2,1
"6","c_Bacteria","-85.1656580184002","-0.0035346406364751","PE477_2_1","PE477",2,1
"9","c_Bacteria","-98.9038226616535","-0.0030436639106842","PE477_2_1","PE477",2,1
"12","c_Bacteria","-142.518157023779","-0.00211222206314217","PE477_2_1","PE477",2,1
"24","c_Bacteria","191.833815516858","0.00156922279240974","PE477_2_1","PE477",2,1
"3","c_HNA","143.330919820341","0.00210024463696532","PE477_2_1","PE477",2,1
"6","c_HNA","135.287991346084","0.00222510507154995","PE477_2_1","PE477",2,1
"9","c_HNA","136.774967586556","0.00220091439958465","PE477_2_1","PE477",2,1
"12","c_HNA","120.460352156655","0.00249899647705244","PE477_2_1","PE477",2,1
"24","c_HNA","59.4759981590721","0.00506136937557329","PE477_2_1","PE477",2,1
"3","c_LNA","-54.5058860615804","-0.00552288968064612","PE477_2_1","PE477",2,1
"6","c_LNA","-29.8462989219677","-0.0100860075298118","PE477_2_1","PE477",2,1
"9","c_LNA","-32.6862150486497","-0.00920969268592076","PE477_2_1","PE477",2,1
"12","c_LNA","-39.3309654805523","-0.00765376572850288","PE477_2_1","PE477",2,1
"24","c_LNA","-100.931532373471","-0.00298251684666887","PE477_2_1","PE477",2,1
