"Location","Station_Number","Depth","Time_Range","Population","Sample_Type","VP","abs_VP","VP_SE","VP_R_Squared","VP_Method","B_0","B_OS","V_OS","c_VP","c_abs_VP","c_VP_SE","P_Cells_BS_10","Rate_BS_10","P_BP_Lysed_BS_10","P_B_Loss_BS_10","P_Cells_BS_25","Rate_BS_25","P_BP_Lysed_BS_25","P_B_Loss_BS_25","P_Cells_BS_40","Rate_BS_40","P_BP_Lysed_BS_40","P_B_Loss_BS_40","V_TT","DOC_V","DON_V","DOP_V","DOC_B_BS_10","Total_DOC_BS_10","DON_B_BS_10","Total_DON_BS_10","DOP_B_BS_10","Total_DOP_BS_10","DOC_B_BS_25","Total_DOC_BS_25","DON_B_BS_25","Total_DON_BS_25","DOP_B_BS_25","Total_DOP_BS_25","DOC_B_BS_40","Total_DOC_BS_40","DON_B_BS_40","Total_DON_BS_40","DOP_B_BS_40","Total_DOP_BS_40"
"PE477",1,1,"T0_T12","c_Viruses","VP",51206.0060060059,614472.072072071,14787.6063936122,0.709021479814059,"LM_SR_AVG",251819.81981982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",1,1,"T0_T24","c_Viruses","VP",31032.2822822823,744774.774774775,2291.62197657823,0.688503344596631,"LM_SR_AVG",251819.81981982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",1,1,"T0_T3","c_Viruses","VP",31705.7057057057,95117.1171171171,7245.77020547536,1,"LM_SR_AVG",251819.81981982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",1,1,"T0_T6","c_Viruses","VP",67774.7747747747,406648.648648648,5681.62374818889,0.90869616839739,"LM_SR_AVG",251819.81981982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",1,1,"T0_T9","c_Viruses","VP",70606.006006006,635454.054054052,22425.4384777993,0.77359052196377,"LM_SR_AVG",251819.81981982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",2,1,"T0_T12","c_Viruses","VP",25446.4052287583,305356.862745099,11567.1416090973,0.382301761667337,"LM_SR_AVG",298480.392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",2,1,"T0_T24","c_Viruses","VP",22356.2091503268,536549.019607844,3458.33816619469,0.485123922263404,"LM_SR_AVG",298480.392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",2,1,"T0_T3","c_Viruses","VP",51084.9673202609,153254.901960783,28738.9099201381,1,"LM_SR_AVG",298480.392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",2,1,"T0_T6","c_Viruses","VP",75147.0588235293,450882.352941176,9081.98803831952,0.912585481711936,"LM_SR_AVG",298480.392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE477",2,1,"T0_T9","c_Viruses","VP",5303.26797385617,47729.4117647057,30552.1014649703,0.382374101451434,"LM_SR_AVG",298480.392156863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
