"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"vi201123.012","Viruses",2020-09-16,2020-11-23,"PE477",1,7,"0.22",0,1,37837.8378378378,22932.0229320229,14905.8149058149,31874324.3243243,23766450.7639236,7474487.00349426,633386.556906511,842.392857142857,1.53846153846154
"vi201123.013","Viruses",2020-09-16,2020-11-23,"PE477",1,7,"0.22",0,2,44594.5945945946,21123.7553342816,23470.8392603129,34632432.4324324,25737598.4723363,8223177.85709808,671656.102998081,776.606060606061,0.9
"vi201123.014","Viruses",2020-09-16,2020-11-23,"PE477",1,7,"0.22",0,3,51351.3513513514,23884.3494657448,27467.0018856065,32860810.8108108,24497651.6038171,7692423.05420765,670736.152786101,639.921052631579,0.869565217391304
"VI220331.067","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",3,1,80555.5555555556,12457.0446735395,68098.5108820161,18454861.1111111,9195010.94886059,7725322.11202199,1534528.05022853,229.094827586207,0.182926829268293
"VI220331.068","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",3,2,80555.5555555556,17439.8625429553,63115.6930126002,20043750,10639188.9267864,7827432.29096312,1577128.78225044,248.818965517241,0.276315789473684
"VI220331.069","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",3,3,63888.8888888889,9771.24183006536,54117.6470588235,18875694.4444444,9531786.41047062,7798980.08911167,1544927.94486216,295.445652173913,0.180555555555556
"VI220331.070","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",6,1,43055.5555555556,12916.6666666667,30138.8888888889,22304861.1111111,13983630.5237786,7213723.7924763,1107506.79485619,518.048387096774,0.428571428571429
"VI220331.071","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",6,2,73611.1111111111,15202.2946859903,58408.8164251208,22024305.5555556,11766558.5126773,8639031.14047697,1618715.90240129,299.198113207547,0.26027397260274
"VI220331.072","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",6,3,91666.6666666667,13968.253968254,77698.4126984127,18096527.7777778,11285353.3045691,5890417.09149839,920757.381710269,197.416666666667,0.179775280898876
"VI220331.073","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",9,1,81944.4444444444,16723.3560090703,65221.0884353741,17542361.1111111,8574916.53851083,7506592.81686531,1460851.75573497,214.076271186441,0.256410256410256
"VI220331.074","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",9,2,77777.7777777778,10643.2748538012,67134.5029239766,18997916.6666667,10124201.0899215,7550228.74712398,1323486.8296212,244.258928571429,0.158536585365854
"VI220331.075","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",9,3,61111.1111111111,15461.8473895582,45649.2637215529,18629861.1111111,11611910.8201979,6016737.12850143,1001213.16241176,304.852272727273,0.338709677419355
"VI220331.076","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",12,1,52777.7777777778,13023.088023088,39754.6897546898,18592361.1111111,11397802.3641693,6140707.88823487,1053850.85870697,352.276315789474,0.327586206896552
"VI220331.077","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",12,2,50000,9333.33333333333,40666.6666666667,18786805.5555556,11203698.8745814,6531661.84087476,1051444.84009943,375.736111111111,0.229508196721312
"VI220331.078","Viruses",NA,2022-03-31,"PE477",1,7,"0.22",12,3,112500,20625,91875,14760416.6666667,7443264.10349633,6037254.59007453,1279897.9730958,131.203703703704,0.224489795918367
"vi201123.015","Viruses",2020-09-16,2020-11-23,"PE477",1,7,"0.22",24,1,58108.1081081081,33896.3963963964,24211.7117117117,27685135.1351351,20529608.6216676,6575808.47296531,579718.040502215,476.441860465116,1.4
"vi201123.016","Viruses",2020-09-16,2020-11-23,"PE477",1,7,"0.22",24,2,68918.9189189189,44305.0193050193,24613.8996138996,26400000,19217579.8069785,6620579.06458797,561841.128433556,383.058823529412,1.8
"vi201123.017","Viruses",2020-09-16,2020-11-23,"PE477",1,7,"0.22",24,3,51351.3513513514,33438.0892520428,17913.2620993086,26094594.5945946,19011608.1344872,6518750.76938894,564235.690718498,508.157894736842,1.86666666666667
"vi201130.020","Viruses",2020-09-17,2020-11-30,"PE477",2,7,"0.22",0,1,7941.17647058824,794.117647058824,7147.05882352941,10242058.8235294,6747575.38501782,3351584.22980087,142899.208710722,1289.74074074074,0.111111111111111
"vi201130.021","Viruses",2020-09-17,2020-11-30,"PE477",2,7,"0.22",0,2,7352.94117647059,386.996904024768,6965.94427244582,10483235.2941176,6590194.70907928,3715851.11892583,177189.466112532,1425.72,0.0555555555555556
"vi201130.022","Viruses",2020-09-17,2020-11-30,"PE477",2,7,"0.22",0,3,4411.76470588235,315.126050420168,4096.63865546218,10182058.8235294,6471936.9870041,3534235.42236662,175886.414158687,2307.93333333333,0.0769230769230769
"VI220331.123","Viruses",NA,2022-03-31,"PE477",2,7,"0.22",3,1,6388.88888888889,2099.20634920635,4289.68253968254,8986944.44444444,4796490.70769919,3861258.62045594,329195.116289315,1406.65217391304,0.489361702127659
"VI220331.124","Viruses",NA,2022-03-31,"PE477",2,7,"0.22",3,2,8333.33333333333,2056.27705627706,6277.05627705628,9355000,4769371.62875235,4222803.99859287,362824.372654784,1122.6,0.327586206896552
"VI220331.135","Viruses",NA,2022-03-31,"PE477",2,7,"0.22",3,3,5555.55555555556,1492.53731343284,4063.01824212272,8630277.77777778,5665854.20436149,2741153.5232976,223270.050118684,1553.45,0.36734693877551
