"file_name","pop","count"
"vi201123.001","root",975
"vi201123.001","Bacteria",10
"vi201123.001","HNA_Bacteria",1
"vi201123.001","LNA_Bacteria",9
"vi201123.001","Viruses",322
"vi201123.001","V1",304
"vi201123.001","V2",1
"vi201123.001","V3",0
"ba201123.001","root",2115
"ba201123.001","Bacteria",1168
"ba201123.001","HNA_Bacteria",530
"ba201123.001","LNA_Bacteria",614
"ba201123.001","Viruses",488
"ba201123.001","V1",0
"ba201123.001","V2",280
"ba201123.001","V3",161
"vi201123.002","root",915
"vi201123.002","Bacteria",2
"vi201123.002","HNA_Bacteria",0
"vi201123.002","LNA_Bacteria",2
"vi201123.002","Viruses",566
"vi201123.002","V1",555
"vi201123.002","V2",4
"vi201123.002","V3",0
"ba201123.002","root",555
"ba201123.002","Bacteria",321
"ba201123.002","HNA_Bacteria",140
"ba201123.002","LNA_Bacteria",173
"ba201123.002","Viruses",108
"ba201123.002","V1",0
"ba201123.002","V2",68
"ba201123.002","V3",32
"vi201123.003","root",1005
"vi201123.003","Bacteria",6
"vi201123.003","HNA_Bacteria",0
"vi201123.003","LNA_Bacteria",6
"vi201123.003","Viruses",625
"vi201123.003","V1",611
"vi201123.003","V2",0
"vi201123.003","V3",0
"ba201123.003","root",105
"ba201123.003","Bacteria",60
"ba201123.003","HNA_Bacteria",35
"ba201123.003","LNA_Bacteria",25
"ba201123.003","Viruses",10
"ba201123.003","V1",0
"ba201123.003","V2",5
"ba201123.003","V3",2
"vi201123.004","root",1080
"vi201123.004","Bacteria",4
"vi201123.004","HNA_Bacteria",1
"vi201123.004","LNA_Bacteria",3
"vi201123.004","Viruses",738
"vi201123.004","V1",727
"vi201123.004","V2",0
"vi201123.004","V3",0
"vi201123.012","root",25245
"vi201123.012","Bacteria",34
"vi201123.012","HNA_Bacteria",20
"vi201123.012","LNA_Bacteria",13
"vi201123.012","Viruses",24299
"vi201123.012","V1",18086
"vi201123.012","V2",5688
"vi201123.012","V3",482
"vi201123.013","root",26955
"vi201123.013","Bacteria",40
"vi201123.013","HNA_Bacteria",18
"vi201123.013","LNA_Bacteria",20
"vi201123.013","Viruses",26355
"vi201123.013","V1",19543
"vi201123.013","V2",6244
"vi201123.013","V3",510
"vi201123.014","root",25950
"vi201123.014","Bacteria",43
"vi201123.014","HNA_Bacteria",20
"vi201123.014","LNA_Bacteria",23
"vi201123.014","Viruses",25052
"vi201123.014","V1",18627
"vi201123.014","V2",5849
"vi201123.014","V3",510
"vi201123.015","root",21765
"vi201123.015","Bacteria",48
"vi201123.015","HNA_Bacteria",28
"vi201123.015","LNA_Bacteria",20
"vi201123.015","Viruses",21202
"vi201123.015","V1",15688
"vi201123.015","V2",5025
"vi201123.015","V3",443
"vi201123.016","root",20835
"vi201123.016","Bacteria",56
"vi201123.016","HNA_Bacteria",36
"vi201123.016","LNA_Bacteria",20
"vi201123.016","Viruses",20247
"vi201123.016","V1",14708
"vi201123.016","V2",5067
"vi201123.016","V3",430
"vi201123.017","root",20715
"vi201123.017","Bacteria",44
"vi201123.017","HNA_Bacteria",28
"vi201123.017","LNA_Bacteria",15
"vi201123.017","Viruses",20047
"vi201123.017","V1",14556
"vi201123.017","V2",4991
"vi201123.017","V3",432
"vi201123.018","root",1155
"vi201123.018","Bacteria",5
"vi201123.018","HNA_Bacteria",0
"vi201123.018","LNA_Bacteria",5
"vi201123.018","Viruses",919
"vi201123.018","V1",895
"vi201123.018","V2",18
"vi201123.018","V3",3
"vi201123.019","root",1215
"vi201123.019","Bacteria",3
"vi201123.019","HNA_Bacteria",0
"vi201123.019","LNA_Bacteria",3
"vi201123.019","Viruses",979
"vi201123.019","V1",963
"vi201123.019","V2",1
"vi201123.019","V3",0
"vi201123.020","root",1170
"vi201123.020","Bacteria",6
"vi201123.020","HNA_Bacteria",0
"vi201123.020","LNA_Bacteria",6
"vi201123.020","Viruses",911
"vi201123.020","V1",905
"vi201123.020","V2",0
"vi201123.020","V3",0
"vi201123.021","root",1305
"vi201123.021","Bacteria",2
"vi201123.021","HNA_Bacteria",0
"vi201123.021","LNA_Bacteria",2
"vi201123.021","Viruses",1048
"vi201123.021","V1",1040
"vi201123.021","V2",3
"vi201123.021","V3",0
"vi201123.022","root",1395
"vi201123.022","Bacteria",7
"vi201123.022","HNA_Bacteria",1
"vi201123.022","LNA_Bacteria",6
"vi201123.022","Viruses",955
"vi201123.022","V1",946
"vi201123.022","V2",1
"vi201123.022","V3",0
"vi201123.023","root",1275
"vi201123.023","Bacteria",9
"vi201123.023","HNA_Bacteria",1
"vi201123.023","LNA_Bacteria",8
"vi201123.023","Viruses",910
"vi201123.023","V1",904
"vi201123.023","V2",1
"vi201123.023","V3",0
"vi201123.024","root",1395
"vi201123.024","Bacteria",5
"vi201123.024","HNA_Bacteria",2
"vi201123.024","LNA_Bacteria",3
"vi201123.024","Viruses",1019
"vi201123.024","V1",1005
"vi201123.024","V2",1
"vi201123.024","V3",1
"vi201123.025","root",1905
"vi201123.025","Bacteria",9
"vi201123.025","HNA_Bacteria",3
"vi201123.025","LNA_Bacteria",6
"vi201123.025","Viruses",1209
"vi201123.025","V1",1197
"vi201123.025","V2",2
"vi201123.025","V3",0
"vi201123.026","root",1620
"vi201123.026","Bacteria",5
"vi201123.026","HNA_Bacteria",1
"vi201123.026","LNA_Bacteria",4
"vi201123.026","Viruses",909
"vi201123.026","V1",900
"vi201123.026","V2",2
"vi201123.026","V3",0
"vi201123.027","root",1200
"vi201123.027","Bacteria",10
"vi201123.027","HNA_Bacteria",0
"vi201123.027","LNA_Bacteria",10
"vi201123.027","Viruses",798
"vi201123.027","V1",784
"vi201123.027","V2",1
"vi201123.027","V3",0
"vi201123.028","root",1305
"vi201123.028","Bacteria",7
"vi201123.028","HNA_Bacteria",1
"vi201123.028","LNA_Bacteria",6
"vi201123.028","Viruses",893
"vi201123.028","V1",883
"vi201123.028","V2",0
"vi201123.028","V3",0
"vi201123.037","root",840
"vi201123.037","Bacteria",3
"vi201123.037","HNA_Bacteria",1
"vi201123.037","LNA_Bacteria",2
"vi201123.037","Viruses",594
"vi201123.037","V1",583
"vi201123.037","V2",1
"vi201123.037","V3",1
"vi201123.038","root",1560
"vi201123.038","Bacteria",8
"vi201123.038","HNA_Bacteria",1
"vi201123.038","LNA_Bacteria",7
"vi201123.038","Viruses",869
"vi201123.038","V1",854
"vi201123.038","V2",2
"vi201123.038","V3",0
"vi201123.039","root",1455
"vi201123.039","Bacteria",7
"vi201123.039","HNA_Bacteria",2
"vi201123.039","LNA_Bacteria",5
"vi201123.039","Viruses",889
"vi201123.039","V1",871
"vi201123.039","V2",1
"vi201123.039","V3",0
"vi201123.040","root",990
"vi201123.040","Bacteria",1
"vi201123.040","HNA_Bacteria",0
"vi201123.040","LNA_Bacteria",1
"vi201123.040","Viruses",513
"vi201123.040","V1",507
"vi201123.040","V2",1
"vi201123.040","V3",1
"vi201123.041","root",1320
"vi201123.041","Bacteria",5
"vi201123.041","HNA_Bacteria",2
"vi201123.041","LNA_Bacteria",3
"vi201123.041","Viruses",843
"vi201123.041","V1",831
"vi201123.041","V2",0
"vi201123.041","V3",1
"vi201123.048","root",870
"vi201123.048","Bacteria",5
"vi201123.048","HNA_Bacteria",2
"vi201123.048","LNA_Bacteria",3
"vi201123.048","Viruses",573
"vi201123.048","V1",567
"vi201123.048","V2",0
"vi201123.048","V3",0
"vi201123.049","root",1185
"vi201123.049","Bacteria",17
"vi201123.049","HNA_Bacteria",0
"vi201123.049","LNA_Bacteria",17
"vi201123.049","Viruses",612
"vi201123.049","V1",603
"vi201123.049","V2",3
"vi201123.049","V3",0
"vi201123.050","root",1665
"vi201123.050","Bacteria",7
"vi201123.050","HNA_Bacteria",2
"vi201123.050","LNA_Bacteria",5
"vi201123.050","Viruses",1243
"vi201123.050","V1",1216
"vi201123.050","V2",22
"vi201123.050","V3",0
"vi201123.051","root",1005
"vi201123.051","Bacteria",20
"vi201123.051","HNA_Bacteria",7
"vi201123.051","LNA_Bacteria",13
"vi201123.051","Viruses",629
"vi201123.051","V1",616
"vi201123.051","V2",0
"vi201123.051","V3",0
"vi201123.052","root",840
"vi201123.052","Bacteria",3
"vi201123.052","HNA_Bacteria",2
"vi201123.052","LNA_Bacteria",1
"vi201123.052","Viruses",490
"vi201123.052","V1",481
"vi201123.052","V2",1
"vi201123.052","V3",0
"vi201123.061","root",900
"vi201123.061","Bacteria",7
"vi201123.061","HNA_Bacteria",4
"vi201123.061","LNA_Bacteria",3
"vi201123.061","Viruses",544
"vi201123.061","V1",538
"vi201123.061","V2",1
"vi201123.061","V3",0
"vi201123.062","root",1410
"vi201123.062","Bacteria",6
"vi201123.062","HNA_Bacteria",2
"vi201123.062","LNA_Bacteria",3
"vi201123.062","Viruses",912
"vi201123.062","V1",895
"vi201123.062","V2",5
"vi201123.062","V3",0
"vi201123.063","root",840
"vi201123.063","Bacteria",3
"vi201123.063","HNA_Bacteria",0
"vi201123.063","LNA_Bacteria",3
"vi201123.063","Viruses",510
"vi201123.063","V1",501
"vi201123.063","V2",3
"vi201123.063","V3",0
"vi201123.064","root",840
"vi201123.064","Bacteria",2
"vi201123.064","HNA_Bacteria",0
"vi201123.064","LNA_Bacteria",2
"vi201123.064","Viruses",558
"vi201123.064","V1",552
"vi201123.064","V2",1
"vi201123.064","V3",0
"vi201123.065","root",1020
"vi201123.065","Bacteria",3
"vi201123.065","HNA_Bacteria",0
"vi201123.065","LNA_Bacteria",3
"vi201123.065","Viruses",533
"vi201123.065","V1",526
"vi201123.065","V2",2
"vi201123.065","V3",0
"vi201123.066","root",990
"vi201123.066","Bacteria",3
"vi201123.066","HNA_Bacteria",0
"vi201123.066","LNA_Bacteria",3
"vi201123.066","Viruses",677
"vi201123.066","V1",662
"vi201123.066","V2",7
"vi201123.066","V3",0
"vi201123.068","root",22965
"vi201123.068","Bacteria",4920
"vi201123.068","HNA_Bacteria",1815
"vi201123.068","LNA_Bacteria",3054
"vi201123.068","Viruses",12304
"vi201123.068","V1",9127
"vi201123.068","V2",2081
"vi201123.068","V3",706
"vi201123.069","root",20385
"vi201123.069","Bacteria",4570
"vi201123.069","HNA_Bacteria",1589
"vi201123.069","LNA_Bacteria",2930
"vi201123.069","Viruses",10489
"vi201123.069","V1",7544
"vi201123.069","V2",1946
"vi201123.069","V3",608
"vi201123.070","root",22665
"vi201123.070","Bacteria",4660
"vi201123.070","HNA_Bacteria",1678
"vi201123.070","LNA_Bacteria",2919
"vi201123.070","Viruses",9613
"vi201123.070","V1",6729
"vi201123.070","V2",1877
"vi201123.070","V3",672
"vi201123.071","root",24660
"vi201123.071","Bacteria",4719
"vi201123.071","HNA_Bacteria",1721
"vi201123.071","LNA_Bacteria",2935
"vi201123.071","Viruses",13287
"vi201123.071","V1",10323
"vi201123.071","V2",1991
"vi201123.071","V3",560
"vi201123.072","root",23220
"vi201123.072","Bacteria",4667
"vi201123.072","HNA_Bacteria",1704
"vi201123.072","LNA_Bacteria",2921
"vi201123.072","Viruses",12595
"vi201123.072","V1",9564
"vi201123.072","V2",2006
"vi201123.072","V3",613
"vi201123.073","root",22785
"vi201123.073","Bacteria",4681
"vi201123.073","HNA_Bacteria",1740
"vi201123.073","LNA_Bacteria",2889
"vi201123.073","Viruses",11908
"vi201123.073","V1",8864
"vi201123.073","V2",2025
"vi201123.073","V3",623
"vi201123.074","root",31125
"vi201123.074","Bacteria",4811
"vi201123.074","HNA_Bacteria",1836
"vi201123.074","LNA_Bacteria",2920
"vi201123.074","Viruses",18912
"vi201123.074","V1",15569
"vi201123.074","V2",2251
"vi201123.074","V3",656
"vi201123.075","root",27285
"vi201123.075","Bacteria",4592
